Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;GASOLINA;06/07/2017;3,11;;R$ / litro;BRANCA
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;ETANOL;06/07/2017;2,02;;R$ / litro;BRANCA
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;DIESEL S10;06/07/2017;2,86;;R$ / litro;BRANCA
NE;BA;ITABUNA;LOPES LEMOS COMERCIO DE COMBUSTIVEIS LTDA; 00.231.792/0001-05;RODOVIA BR 101;SN;KM    503 5;MANOEL LEAO;45601-402;GASOLINA;05/07/2017;3,599;;R$ / litro;BRANCA
NE;BA;ITABUNA;LOPES LEMOS COMERCIO DE COMBUSTIVEIS LTDA; 00.231.792/0001-05;RODOVIA BR 101;SN;KM    503 5;MANOEL LEAO;45601-402;DIESEL;05/07/2017;2,87;;R$ / litro;BRANCA
NE;BA;ITABUNA;LOPES LEMOS COMERCIO DE COMBUSTIVEIS LTDA; 00.231.792/0001-05;RODOVIA BR 101;SN;KM    503 5;MANOEL LEAO;45601-402;DIESEL S10;05/07/2017;2,97;;R$ / litro;BRANCA
